#depression,385300
#hiv,366134
#anxiety,337328
#aids,283563
#diabetes,281534
#autism,199337
#flu,186410
#ptsd,180643
#health,178371
#dementia,159770
#heartdisease,148218
#adhd,141820
#obesity,135520
#breastcancer,124360
#lungcancer,117289
#cancer,109443
#fibromyalgia,95951
#malaria,94966
#alzheimers,93961
#bipolar,92359
#chronicpain,88525
#allergies,85825
#raredisease,84284
#std,82144
#bcsm,81494
#add,76931
#mentalhealth,76190
#lcsm,74229
#ibd,74227
#mers,72328
#als,71812
#crohns,69274
#ocd,69260
#melanoma,65828
#backpain,64519
#cysticfibrosis,61977
#tbi,61838
#stroke,60709
#migraine,59614
#prostatecancer,59099
#arthritis,57376
#asthma,57298
#lupus,56393
#alzheimer,55599
#hearthealth,53798
#epilepsy,51051
#hepatitis,51044
#multiplesclerosis,48763
#polio,48103
#skincancer,47708
#childhoodcancer,46523
#fibro,46060
#pancreaticcancer,43463
#celiac,43113
#braininjury,43076
#acne,40842
#mnd,40449
#love,40134
#aspergers,39572
#dyslexia,39194
#hpv,38633
#myeloma,35666
#influenza,35591
#pain,35129
#awareness,34892
#copd,34854
#veterans,34157
#infertility,34122
#asd,33779
#colitis,33604
#spoonie,33192
#disability,31972
#coloncancer,31932
#ovariancancer,30838
#sex,30774
#hepc,30190
#mesothelioma,30163
#anorexia,29850
#weightloss,29609
#downsyndrome,28368
#uti,27607
#eatingdisorder,27413
#eczema,27245
#stress,27220
#h7n9,26942
#ncds,26199
#glutenfree,26062
#diabetic,26006
#rheum,25584
#t1d,25425
#tuberculosis,25161
#advice,24894
#cholesterol,24873
#dating,24864
#foodallergy,24860
#parkinsons,24654
#endometriosis,24564
#bpd,24433
#eatingdisorders,23934
#chemo,23659
#cervicalcancer,23552
